2021-05-26 08:09:12.518169, open line 330 

HK last traded on 2021-09-132021-09-13 19:50:26.600176, sleeping
2021-09-13 19:50:56.600892, sleeping
2021-09-13 20:00:26.615494, sleeping
2021-09-13 20:00:56.616210, sleeping
2021-09-13 20:10:26.629813, sleeping
2021-09-13 20:10:56.630529, sleeping
2021-09-13 20:20:26.647132, sleeping
2021-09-13 20:20:56.647848, sleeping

HK last traded on 2021-09-142021-09-14 18:40:01.270425, sleeping
2021-09-14 18:40:31.271141, sleeping
2021-09-14 18:50:01.284744, sleeping
2021-09-14 18:50:31.285460, sleeping
2021-09-14 19:00:01.302063, sleeping
2021-09-14 19:00:31.302779, sleeping
2021-09-14 19:10:01.319382, sleeping
2021-09-14 19:10:31.320098, sleeping
2021-09-14 19:20:01.333701, sleeping
2021-09-14 19:20:31.334417, sleeping
2021-09-14 19:30:01.349020, sleeping
2021-09-14 19:30:31.349736, sleeping
2021-09-14 19:40:01.363338, sleeping
2021-09-14 19:40:31.364054, sleeping

HK last traded on 2021-09-15
HK last traded on 2021-09-16
HK last traded on 2021-09-17
HK last traded on 2021-09-20
HK last traded on 2021-09-21
HK last traded on 2021-09-23
HK last traded on 2021-09-24
HK last traded on 2021-09-27
HK last traded on 2021-09-28
HK last traded on 2021-09-29
HK last traded on 2021-09-30
HK last traded on 2021-10-04
HK last traded on 2021-10-04
HK last traded on 2021-10-04
HK last traded on 2021-10-05
HK last traded on 2021-10-06
HK last traded on 2021-10-07
HK last traded on 2021-10-08
HK last traded on 2021-10-11
HK last traded on 2021-10-12
HK last traded on 2021-10-15
HK last traded on 2021-10-18
HK last traded on 2021-10-19
HK last traded on 2021-10-20
HK last traded on 2021-10-20
HK last traded on 2021-10-21
HK last traded on 2021-10-22
HK last traded on 2021-10-25
HK last traded on 2021-10-26
HK last traded on 2021-10-27
HK last traded on 2021-10-28
HK last traded on 2021-10-29
HK last traded on 2021-11-01
HK last traded on 2021-11-02
HK last traded on 2021-11-03
HK last traded on 2021-11-042021-11-04 19:00:20.984651, sleeping
2021-11-04 19:00:50.985367, sleeping

HK last traded on 2021-11-052021-11-05 20:30:50.159118, sleeping
2021-11-05 20:40:20.303728, sleeping
2021-11-05 20:40:50.304444, sleeping
2021-11-05 20:50:20.318047, sleeping
2021-11-05 20:50:50.318763, sleeping
2021-11-05 21:00:20.632383, sleeping
2021-11-05 21:00:50.633099, sleeping
2021-11-05 21:10:20.654703, sleeping
2021-11-05 21:10:50.655419, sleeping
2021-11-05 21:20:20.671022, sleeping
2021-11-05 21:20:50.671738, sleeping
2021-11-05 21:30:20.690341, sleeping
2021-11-05 21:30:50.691057, sleeping
2021-11-05 21:40:20.706660, sleeping
2021-11-05 21:40:50.707376, sleeping
2021-11-05 21:50:20.760981, sleeping
2021-11-05 21:50:50.762697, sleeping
2021-11-05 22:00:20.830303, sleeping
2021-11-05 22:00:50.831019, sleeping
2021-11-05 22:10:20.964890, sleeping
2021-11-05 22:10:50.971606, sleeping

HK last traded on 2021-11-08
HK last traded on 2021-11-102021-11-10 20:10:04.575689, sleeping
2021-11-10 20:10:34.590141, sleeping

HK last traded on 2021-11-112021-11-11 18:30:08.830492, sleeping
2021-11-11 18:30:38.830533, sleeping
2021-11-11 18:40:08.910256, sleeping
2021-11-11 18:40:38.914302, sleeping
2021-11-11 18:50:08.976659, sleeping
2021-11-11 18:50:38.981061, sleeping
2021-11-11 19:00:09.037292, sleeping
2021-11-11 19:00:39.038059, sleeping
2021-11-11 19:10:09.087055, sleeping
2021-11-11 19:10:39.087771, sleeping
2021-11-11 19:20:09.106374, sleeping
2021-11-11 19:20:39.107090, sleeping
2021-11-11 19:30:09.120693, sleeping
2021-11-11 19:30:39.121409, sleeping
2022-08-28 17:10:59.319493, HK Weekend
